product_name,price,referral_link
Cat DJ Scratching Turntable,$25.95,https://www.amazon.com/SUCK-UK-CARDBOARD-TURNTABLE-MIXER/dp/B006YR6EK8/ref=sr_1_2?dib=eyJ2IjoiMSJ9.OhvN5TGia2t61I0YQNkHfY5JmlmhBcRSQ9zgsaeaFD_3ED3LFCzGxriYHIbFMfcmWjfXtss3vYDFFGIZgSrZM4QsfG_Sl8qTigujVzFZCJPXKVCxevTld12py0Tb-1ktBUxLMovqFHe-X7_SV2ZogMa-diVGZt64RUBmo5WgF6TfGSO5XuuHbBkbv_CDkpwsVmi0THWvVP6aHQEhQQwJJTbjH4mtCmS_5-nIQStKGl7ABCoHuqqZ2I8X9uz29Y2zwxzl_6Uz9c6kGJdTfaRw5SYhpcA-7TDJO5ob0-3BL3g.CZdM8y-jL2PhjtAiTSLhoFhEy8R5P0RwIGbYYSaSZFk&dib_tag=se&keywords=Cat+DJ+Scratching+Turntable&qid=1729207982&sr=8-2?tag=bdsmbbq-21
Poop Emoji Slippers,$17.99,https://www.amazon.com/CAFOLO-Slippers-Comfortable-Non-Skid-Footpads/dp/B07H3MC214/ref=sr_1_2?dib=eyJ2IjoiMSJ9.p9F1PlqUmNLEmW8FFNxo9Ec1-Mh1PwMElW8QMXaBZJqV39Sl1kre3QXOnRjXREQoNa-CO4aDSFZRNhUcuXVOFiVCGKEkvyoc5QEwF49AZSwkeXpr1L-4P4gVJFRrsHvipWkE1urrsaTt3mHsV2rV1jUE0BYiy5YkEuTPtxWuMxXZ9FSJ6xjfZfBLVvgzFchPgARlXHAzVkU43Zj1LzCCtoiKQNUfjrYY3X00wdiEHQcnin_zxVWHG_7DPC6XCWUVI0IiFzn8usZjJ0PIqLHsS5GkLlJKoZ8uYCy3En9_TZs.2SNgx6U9K2soUQiIAKQ90XbgbEsF2Ma5BmJE04nT_ik&dib_tag=se&keywords=Poop+Emoji+Slippers&qid=1729208010&sr=8-2?tag=bdsmbbq-21
Chicken Harness with Leash,$14.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNDAxMzM4OTI5MDQ3NDU6MTcyOTIwODAzOTpzcF9hdGY6MzAwMzI4NDgwMzgwOTAyOjowOjo&url=%2FYesito-Chicken-Harness-Matching-Leash%2Fdp%2FB07D1JQ664%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.fpOd4QrLMYVYr_W6mzOcvbJOPVpGkgMCWgw0MeE2jXcDQauDZ9WHqW6s3AdFPscQse9t1f5oM6HmgqCu4pprJ0Yaxq5o4Ojvr2bwDFq7rTMdqTBxO2vl-gMULFr055Oi2GNAl7xtBNU6bvzNSrlypHSSC9r2D_X_odV6AP0xVOC3kXTEc-devignskozSVbRLtfjgha_YRnuWsiq7KNZvguoTxSGDC3TPYksByUNIK-iKuK5rGDOtagEPn6tUbZIboa9ZETxv8pirQKdrQpAFS2NfdSy28zvqs6DJ8BaMo4.ubfEt-nNPJUsKL_OPkDVSiBqhSweg3MTogSR5hsLOLg%26dib_tag%3Dse%26keywords%3DChicken%2BHarness%2Bwith%2BLeash%26qid%3D1729208039%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Handerpants,$13.32,https://www.amazon.com/Archie-McPhee-Handerpants-Underpants-Hands/dp/B002Q0L6UK/ref=sr_1_1?dib=eyJ2IjoiMSJ9.AjAq1AdIhYxU0RJRRTRocAMPjYwyBDABE8Z_OUqSqiqXdWKGfIvUU0cKVh08DmnWrQbGuuiov71nHfCdENL9BdqIPZQUXUGFlcsdRJZkENNRbZOiVqC7E90eG1qX3uXTZ-4QcyugJh--IU55-7fRmPHD-wfhH0GxFjd23UCVCBoniToZu1Afrc6BZtsQdm0pj_ZEI_wZY8UrsHY7QJ8Zk9zcpzW1urA3-AyLJ7tN68aCtFzivNidJiCXUlKDXa1WCH-DDRVENYcMFDAVNIxA3oTP2IhKW_5tlgycrHC0shA.MZpk3kOgJMrKW_4C2l0tJOej42XWIjW4XAT77IbhHag&dib_tag=se&keywords=Handerpants&qid=1729208052&sr=8-1?tag=bdsmbbq-21
Bread-Shaped Pillow,$25.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQwNzQ1MTg3OTA3NDMyOjE3MjkyMDgwNjM6c3BfYXRmOjIwMDAxNDg1Nzc5MDg1MTo6MDo6&url=%2FSimulation-Pillow-Lumbar-Cushion-Stuffed%2Fdp%2FB07SHP29DM%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.YieIwkfrKVDdyHwV30d0pNqAm3hrT7wrhLA8Ue9fKRvAzq35F3F07ZOPqqvwI4RVyYIv-WNZqJe9HHEiKmXc6vNXZEElvt2kSNaZpg4iNR0SHLZzHIXkxIlHAGaAnG0E2dI1dmRxWQopvf4_igYGRSyDqocuEHkQFyjy8FQbjHrqUPJ6201cmIEoe5Y68TGqaOXigd2OUxf06ejhrO1yCMs8ad6iEzFkCn2rbl_9ycDSdCe2Mn7REfahDvW9d8Ba7eiq8gpS93TO0ZZyii52msFPXJKBDWWKSslQZ_FBlhQ._D7oLZIUJxFqyMkCPhad1wnBcr0tobTtbf4C42_5Te4%26dib_tag%3Dse%26keywords%3DBread-Shaped%2BPillow%26qid%3D1729208063%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Inflatable Tube Guy,$229.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzM0NTA4NzEwOTcxMjM1OjE3MjkyMDgwNzI6c3BfYXRmOjIwMDAwNzMwOTEyNjc2MTo6MDo6&url=%2FMOUNTO-Puppet-Dancing-Complete-20-Feet%2Fdp%2FB07FZ6V8W6%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.jEZ9rMh6KPWowFw0irlSBHapCYTebdfP2GwM8H-pggBXX7VCCJhVfXRnPuI-NPpPwO40xILLuPxnBX0Dp-0XeA2LxUottVLFE6fEJMph2V0DMGDKOjWqfGlVNbPTQSTdW3r34T_nLA1yzvOZqAvyEMvQ9mNf3xE0jhFqsilJslCnlt6AB0Ncx5QPQokwpweSlqujC0qsakpfJXOlk3rA3bJVEUhHvDXHnMaeo-mdESuOLGEdJOa7ZpEhYmvNh8CsAr2wnu6pZL-K8cNMYDBcm_bpMHKNX6RDc2_xgQHWEtQ.lanCp3YLy4H86ctLZbW5GGO1JAIydWXkebbYPj_fEMw%26dib_tag%3Dse%26keywords%3DInflatable%2BTube%2BGuy%26qid%3D1729208072%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Unicorn Onesie Pajamas,$29.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2Njk0ODk0NDMyNzYwODk2OjE3MjkyMDgwODU6c3BfYXRmOjIwMDA4NzQ2MjU5NDE5ODo6MDo6&url=%2FABENCA-Pajamas-Christmas-Halloween-Onepiece%2Fdp%2FB07FLX3621%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.Vi6wAzUs-6diTyJp_RSVcGWAgcY2xuNzZmSxLv6puSI7MEONAhtuvT1IjEjSQ05qsEIaMFrC93dWdtkusRLKmqBbkYuIREnGxjKzEESZth2s7QmkO-bLdHXwdIZXZxPqkMIy_E-EzKOdFNKd4A9vljPJjIvJi1JvP8mVCpYlSuwTVOJ0JqHw6Luks52InA-DrIy7WAWHebbIc-n3GVpBw7H9Wyb5LnKUp3YV-wJcbVbIAa5dl2GbqacYZBh8K3OhTFMbdZ0jMOSudJ7dmFcxQoCCY_8_z1UgCK1MWtlfk_o.W669Tiv-H0HTdWgDIhozz7j0d7JIcuvbj_vEVpLtucA%26dib_tag%3Dse%26keywords%3DUnicorn%2BOnesie%2BPajamas%26qid%3D1729208084%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
LED Shoelaces,$9.96,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODM1NjQyNjU4Nzc4NjEwOjE3MjkyMDgwOTQ6c3BfYXRmOjIwMDA2OTIyMTUyNDc4MTo6MDo6&url=%2FFlammi-Shoelaces-Lighting-Hip-hop-Dancing%2Fdp%2FB00UMV8G1W%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.Y9PaV6p6lC4S_LodWJfOQlrpWG6K1IFyD92BL1cRGnjoOOBdt5R4pG3q2uajOhVAvjecRrOMgLZPcUSFTC4VPzRIoD6gcp1gVYCuoJ6rqvWTkNk23Dbn7Vit_D51rrsjQtz1TJajRc93c-IkEDBWoJI2Nr3S14U6nJg_QIAbDf682WK9Sv4rUwuGG-MxsKLqX_hExKUmdWY4WCRNgp6pvbkNe7arxtBGYRFZwBILM4onEZ_FmcbDtAv9GO2w5FHJtF1C4Me_Vi77V_esMQYr20M0ifC2ZLpPFdWE7r40L8I.yC8hnhrSc-Bn50Z7TNDwYm_7y598877wD-NVNVo00nY%26dib_tag%3Dse%26keywords%3DLED%2BShoelaces%26qid%3D1729208094%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Fake Belly Fanny Pack,$9.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5MTk4MzQxMjEyMjgzNjM6MTcyOTIwODEwNzpzcF9hdGY6MzAwNDAzMzIwODQwMDAyOjowOjo&url=%2FDad-BOD-Fanny-Belly-Christmas-Elephant-Gifts-Exchange%2Fdp%2FB076J8R7YK%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.14Ha88aHl301IevNyVtToXU02rRHwJCnqVh040W3owiRCJRCcM0B7jof011St5t9jSUcpG0Zg-2AvVpUrX2qwSQfrA7bCNtYhY4Ai0225o_Fh5V8MCAO5qIlrRmiymvs5Yv8SQ-BcUknx-0z73F1OcxF1UC-lHxr_TpC5qEieegk0bDWBQjrgq-VqmR0YS5pB77VwVwhwICayMvSq3L2_jNdZTn79u1O3oRu7n8NzndtRWfrZLNbEh_OO-xICy4bhb95Ynt7fEe2mK3rORuKOEpHdcJIFJnV9f2gIlQjzOA.rPup9Sv5MslrPtceJeRowQZIX9XJI1cWnIarzToPXJo%26dib_tag%3Dse%26keywords%3DFake%2BBelly%2BFanny%2BPack%26qid%3D1729208107%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Pickle Rick Plush Toy,$39.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMTkyMTgwNzU0MTY5MDg5OjE3MjkyMDgxMTY6c3BfYXRmOjIwMDA0MDA2NzE3ODU0MTo6MDo6&url=%2FRICK-MORTY-Pickle-Plush-Pillow%2Fdp%2FB07F718C53%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.I2_nV5zDXLvNByjGOj6QumQkJb4RYYK7AgIqoU2HrKAW8v99V06y6hfITg9Ymj8tARPmOTEU4O81eB343WP-ZHrF0xray75cztwS4Hm6gAwr-bGVKWB8KvvSihtOPnREOXaUax15u-gqseSIwAN6XDV5X7gLep2ir9KBeUKdYaL-6v8z2V5TzyBckg7Pa8Qjc9X9mji9psrmvto-8-0_XnpJEA1_t_DPeGpPoHtSX92NAjbvGZEAR3TQQGFwFvPCv1RTDDZqneE4IAJ_V9pPn1H6zxTJQhUJQIYPRgP4l6I.BBqtv-p4r7MqfJiodpynq0rtmxyUVL7tLrTzQpC2FTk%26dib_tag%3Dse%26keywords%3DPickle%2BRick%2BPlush%2BToy%26qid%3D1729208116%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Giant Gummy Bear,$39.99,https://www.amazon.com/Gummygoods-Huggable-Gummy-Bear-Nightlight/dp/B00C1OER5W/ref=sr_1_2?dib=eyJ2IjoiMSJ9.kS2e7xFeV6uMeAAFECrld-fVi0Wm9hTR-UTETJ3xoVrw1Rb8IBfS9mcKHP6F77DDajIhP-fNNsAGZq7PCWA82fSwDMr-z9zZzu46JVsEaM8v3_U5Xrbe1HhAGs2mB7wTDAcbcZW0yqpUbLj2-ibuhEqR6OidAtQSPGX9RSVcZud8gd8yzp--y2sVxf90nUxxN8mFjQIr4bqyazSvnZSthRxKc99eCvW1qTUTZU1Lka_ZMHlvksfFfYVzL9oIab0OemDwrpX9CItb77H_b6uoey5H4R6BngGZHH2ukJbf8ag.55blIZ3YlESO3Lnh3OtPUDUVap2-6kACBol6oMkLoKI&dib_tag=se&keywords=Giant+Gummy+Bear&qid=1729208166&sr=8-2?tag=bdsmbbq-21
Rubber Horse Head Mask,$12.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTczNjA3MzAwNTkxMzoxNzI5MjA4MTg0OnNwX2F0ZjoyMDAxMjU1MzgzODg2OTg6OjA6Og&url=%2Fmolezu-Halloween-Novelty-Deluxe-Black%2Fdp%2FB075LFV48M%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.mG1AXpvTwNAsnQ5Fc3JmSS7440QXrSu99upif2I3f11Nh-paeVXOvQHLV-X5OAF5DeXj6gT47kd-iMcGRYX32FmPkDcGqPfUeB3fGzSoPxBJnzH520GQm3OXGRM1n7kbxML8W276QH5kn74Xu4VwtVSU1II6MIPtMq90PnedUk_dUQbpPeC4d7bNoNeDV1RyCLx3LunUHvLZm0I28r__xXYiMtsp4q1gSIgW7n9mTiMHYT9hqC07J6R_70nNtV1saPMDeeNG72MlfM-oLO9-0HXBgEjDTvWF5rTWc6tDHdg.lGdZltPHs0Df_CI1LZL8cZnO7jlhvS-4U8xifLC_Pbg%26dib_tag%3Dse%26keywords%3DRubber%2BHorse%2BHead%2BMask%26qid%3D1729208184%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Pooping Pooches Calendar,$14.98,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNzAzNzU4Njk4NDA5MDE5OjE3MjkyMDgxOTY6c3BfYXRmOjMwMDMzNzkxNjkxMTgwMjo6MDo6&url=%2FPooping-Calendar-Elephant-Monthly-Calander%2Fdp%2FB08NTWYT4C%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.r_5Ktj2lmdQo5SD9wpBmiR825tW_-BPorYKY9qyZk4cwpVWm2rswikx53uyTqmrWgNKOcCxDDyCR9uJZBWm9MBotnhNBs_nL9TvIX7VWtz6ASr8h3Ybun3buWIO8ky8lTFrOTaX5XhqobNke26UZokDBrPkULjS3uXOsNszFRLS5dj4ZXVdLrIC1KBje64HzKidtEE5WFCbbSN-Jb0MvI55XpIksb0jYB8tZ_TCvoKIUehKpg-tjomSs07ehAJ89plDE6xtDBirmv1-5YutrK_K9MQ69cDFMZRy-G6Joc0Y.p2jvvHZhFghqlUfyIEccimdfGmd7kb5x-7L5sk2HKbM%26dib_tag%3Dse%26keywords%3DPooping%2BPooches%2BCalendar%26qid%3D1729208196%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
